age,gender,height_cm,weight_kg,bmi,bmi_category,activity_level,goal,diet_preference,bmr,tdee,calorie_target,diet_plan,workout_plan,fitness_category,fat_pct,water_liters,workout_freq,session_hours,max_bpm,avg_bpm,calories_burned_session
22,Male,192.0,110.5,29.98,Overweight,Moderate,Weight Loss,Vegetarian,2200.0,3410.0,3010.0,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,20.2,3.3,3,1.16,172,144,919.0
54,Male,171.0,55.2,18.88,Normal,Sedentary,Weight Loss,Eggetarian,1355.8,1627.0,1227.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,24.4,2.8,2,0.77,164,152,579.0
49,Male,172.0,46.5,15.72,Underweight,Active,Maintain Fitness,Vegetarian,1300.0,2242.5,2242.5,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,22.2,2.6,4,1.4,169,120,832.0
26,Female,166.0,70.9,25.73,Overweight,Light,Weight Loss,Eggetarian,1455.5,2001.3,1601.3,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,28.9,1.7,3,0.81,184,125,506.0
58,Male,175.0,74.6,24.36,Normal,Sedentary,Maintain Fitness,Eggetarian,1554.8,1865.8,1865.8,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,24.2,2.9,2,1.09,193,137,739.0
52,Male,172.0,45.1,15.24,Underweight,Sedentary,Weight Loss,Vegan,1271.0,1525.2,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,27.5,3.3,2,0.93,196,129,594.0
36,Male,199.0,99.9,25.23,Overweight,Light,Improve Stamina,Vegetarian,2067.8,2843.2,2943.2,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,20.9,2.5,3,1.33,189,147,1075.0
33,Male,161.0,117.0,45.14,Obese,Moderate,Weight Loss,Vegetarian,2016.2,3125.1,2725.1,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,25.1,2.4,3,1.04,166,130,744.0
20,Female,173.0,75.9,25.36,Overweight,Active,Muscle Gain,Vegan,1579.2,2724.1,3024.1,High Protein Veg Diet,Progressive Strength Training,Needs Improvement,30.6,2.1,4,1.39,165,152,1056.0
37,Female,164.0,71.2,26.47,Overweight,Moderate,Weight Loss,Vegetarian,1391.0,2156.1,1756.1,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,29.9,1.7,3,1.11,162,120,666.0
41,Male,172.0,78.8,26.64,Overweight,Active,Improve Stamina,Vegetarian,1663.0,2868.7,2968.7,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,27.3,3.1,4,1.01,172,132,660.0
50,Male,169.0,50.6,17.72,Underweight,Sedentary,Weight Loss,Non-Vegetarian,1317.2,1580.6,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,23.8,3.0,2,1.31,162,156,1012.0
41,Male,179.0,82.5,25.75,Overweight,Active,Improve Stamina,Eggetarian,1743.8,3008.1,3108.1,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,14.7,3.5,4,1.69,185,139,1163.0
28,Male,179.0,108.5,33.86,Obese,Active,Weight Loss,Non-Vegetarian,2068.8,3568.7,3168.7,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,24.8,2.1,4,1.33,183,120,878.0
25,Male,198.0,49.9,12.73,Underweight,Moderate,Maintain Fitness,Non-Vegetarian,1616.5,2505.6,2505.6,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,25.7,2.1,3,1.15,165,122,772.0
53,Male,191.0,125.1,34.29,Obese,Sedentary,Weight Loss,Vegetarian,2184.8,2621.8,2221.8,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,28.3,3.1,2,0.52,171,137,353.0
55,Female,166.0,79.7,28.92,Overweight,Sedentary,Weight Loss,Non-Vegetarian,1398.5,1678.2,1278.2,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,27.8,1.9,2,1.06,195,160,763.0
57,Male,163.0,126.8,47.72,Obese,Sedentary,Improve Stamina,Eggetarian,2006.8,2408.2,2508.2,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,20.8,2.1,2,0.96,161,133,632.0
37,Female,157.0,54.6,22.15,Normal,Light,Muscle Gain,Vegetarian,1181.2,1624.2,1924.2,High Protein Veg Diet,Beginner Fitness Routine,Needs Improvement,32.1,2.4,3,1.31,170,150,982.0
52,Female,154.0,47.8,20.16,Normal,Moderate,Improve Stamina,Non-Vegetarian,1019.5,1580.2,1680.2,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,29.8,1.9,3,1.34,198,146,880.0
42,Male,191.0,97.9,26.84,Overweight,Moderate,Muscle Gain,Vegan,1967.8,3050.1,3350.1,High Protein Veg Diet,Progressive Strength Training,Needs Improvement,29.0,2.8,3,1.01,193,136,680.0
52,Female,154.0,63.1,26.61,Overweight,Moderate,Muscle Gain,Non-Vegetarian,1172.5,1817.4,2117.4,High Protein Non-Veg Diet,Moderate Strength Training,Needs Improvement,34.8,1.8,3,1.36,185,165,1010.0
42,Female,169.0,72.4,25.35,Overweight,Moderate,Maintain Fitness,Non-Vegetarian,1409.2,2184.3,2184.3,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,29.0,2.3,3,1.07,177,148,713.0
46,Female,170.0,58.9,20.38,Normal,Active,Muscle Gain,Non-Vegetarian,1260.5,2174.4,2474.4,High Protein Non-Veg Diet,Moderate Strength Training,Fit,17.1,2.7,4,1.52,180,155,1060.0
35,Female,160.0,50.4,19.69,Normal,Active,Improve Stamina,Vegetarian,1168.0,2014.8,2114.8,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,29.1,1.9,4,1.03,195,156,803.0
35,Female,159.0,64.2,25.39,Overweight,Very Active,Maintain Fitness,Vegetarian,1299.8,2469.6,2469.6,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,16.6,2.7,5,1.63,199,145,1182.0
19,Female,177.0,58.8,18.77,Normal,Sedentary,Maintain Fitness,Vegan,1438.2,1725.8,1725.8,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,32.8,2.7,2,1.4,181,136,952.0
52,Male,162.0,105.2,40.09,Obese,Light,Weight Loss,Vegan,1809.5,2488.1,2088.1,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,27.6,3.2,3,1.36,189,141,949.0
33,Female,150.0,45.9,20.4,Normal,Light,Improve Stamina,Vegan,1070.5,1471.9,1571.9,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,29.8,1.7,3,0.92,189,144,662.0
58,Female,163.0,65.2,24.54,Normal,Moderate,Maintain Fitness,Eggetarian,1219.8,1890.7,1890.7,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,25.4,2.0,3,1.12,167,121,610.0
53,Female,179.0,56.3,17.57,Underweight,Very Active,Muscle Gain,Non-Vegetarian,1255.8,2386.0,2686.0,High Protein Non-Veg Diet,Moderate Strength Training,Moderately Fit,16.5,2.7,5,1.52,193,141,964.0
50,Male,170.0,90.0,31.14,Obese,Sedentary,Weight Loss,Non-Vegetarian,1717.5,2061.0,1661.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,22.9,2.7,2,0.81,168,124,497.0
21,Female,170.0,60.0,20.76,Normal,Very Active,Muscle Gain,Non-Vegetarian,1396.5,2653.3,2953.3,High Protein Non-Veg Diet,Progressive Strength Training,Fit,19.1,2.7,5,1.97,179,123,1212.0
50,Male,171.0,51.5,17.61,Underweight,Sedentary,Improve Stamina,Non-Vegetarian,1338.8,1606.6,1706.6,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,20.9,2.9,2,1.48,199,155,1136.0
31,Female,164.0,63.1,23.46,Normal,Active,Improve Stamina,Non-Vegetarian,1340.0,2311.5,2411.5,High Carb Performance Diet,Cardio Endurance Training,Fit,19.0,2.7,4,1.54,184,125,962.0
38,Male,177.0,91.5,29.21,Overweight,Sedentary,Improve Stamina,Non-Vegetarian,1836.2,2203.4,2303.4,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,26.7,3.4,2,0.8,178,140,616.0
37,Male,167.0,48.7,17.46,Underweight,Sedentary,Improve Stamina,Vegan,1350.8,1621.0,1721.0,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,27.3,3.0,2,1.39,164,132,1009.0
25,Female,156.0,57.8,23.75,Normal,Moderate,Maintain Fitness,Vegetarian,1267.0,1963.9,1963.9,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,29.3,1.6,3,1.35,170,156,1053.0
24,Female,175.0,42.0,13.71,Underweight,Light,Muscle Gain,Vegetarian,1232.8,1695.1,1995.1,High Protein Veg Diet,Beginner Fitness Routine,Needs Improvement,31.8,2.3,3,0.83,174,144,598.0
20,Male,192.0,128.4,34.83,Obese,Sedentary,Weight Loss,Vegetarian,2389.0,2866.8,2466.8,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,26.1,2.0,2,0.63,167,145,502.0
34,Female,157.0,74.2,30.1,Obese,Light,Weight Loss,Non-Vegetarian,1392.2,1914.3,1514.3,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,32.7,2.4,3,1.47,178,158,1161.0
50,Male,168.0,89.6,31.75,Obese,Very Active,Improve Stamina,Vegetarian,1701.0,3231.9,3331.9,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,12.2,3.5,5,1.79,182,139,1232.0
29,Male,200.0,125.9,31.48,Obese,Active,Weight Loss,Non-Vegetarian,2369.0,4086.5,3686.5,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,24.7,3.1,4,1.36,186,152,1137.0
39,Male,199.0,105.5,26.64,Overweight,Sedentary,Weight Loss,Non-Vegetarian,2108.8,2530.6,2130.6,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,26.4,2.5,2,0.81,199,133,593.0
39,Male,170.0,93.4,32.32,Obese,Active,Weight Loss,Vegetarian,1806.5,3116.2,2716.2,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,21.1,2.5,4,1.1,191,155,938.0
47,Male,184.0,82.1,24.25,Normal,Active,Muscle Gain,Non-Vegetarian,1741.0,3003.2,3303.2,High Protein Non-Veg Diet,Moderate Strength Training,Moderately Fit,24.4,3.4,4,1.37,185,136,922.0
55,Female,169.0,42.9,15.02,Underweight,Sedentary,Improve Stamina,Vegetarian,1049.2,1259.0,1359.0,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,34.7,2.4,2,0.9,186,140,567.0
55,Male,168.0,128.4,45.49,Obese,Active,Improve Stamina,Vegetarian,2064.0,3560.4,3660.4,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,20.4,2.6,4,1.13,178,165,923.0
25,Male,196.0,112.4,29.26,Overweight,Sedentary,Weight Loss,Vegan,2229.0,2674.8,2274.8,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,23.2,2.5,2,1.42,188,135,1054.0
44,Female,179.0,77.7,24.25,Normal,Light,Maintain Fitness,Vegetarian,1514.8,2082.8,2082.8,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,28.1,2.2,3,1.41,198,165,1047.0
44,Male,199.0,89.3,22.55,Normal,Active,Maintain Fitness,Vegetarian,1921.8,3315.1,3315.1,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,26.3,2.0,4,1.4,192,135,936.0
51,Female,155.0,70.3,29.26,Overweight,Light,Improve Stamina,Non-Vegetarian,1255.8,1726.7,1826.7,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,26.1,1.6,3,1.4,178,139,876.0
38,Female,172.0,59.1,19.98,Normal,Moderate,Improve Stamina,Non-Vegetarian,1315.0,2038.2,2138.2,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,31.3,1.7,3,1.07,196,148,792.0
47,Female,169.0,49.9,17.47,Underweight,Moderate,Maintain Fitness,Vegetarian,1159.2,1796.8,1796.8,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,26.0,1.7,3,1.48,178,147,979.0
50,Male,167.0,101.7,36.47,Obese,Sedentary,Weight Loss,Non-Vegetarian,1815.8,2179.0,1779.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,20.9,2.9,2,0.53,192,127,333.0
45,Male,191.0,93.0,25.49,Overweight,Moderate,Improve Stamina,Vegetarian,1903.8,2950.9,3050.9,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,27.3,3.7,3,1.03,175,143,729.0
50,Male,160.0,87.4,34.14,Obese,Sedentary,Weight Loss,Vegetarian,1629.0,1954.8,1554.8,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,23.2,3.1,2,0.77,182,122,465.0
22,Female,161.0,55.1,21.26,Normal,Active,Maintain Fitness,Non-Vegetarian,1286.2,2218.7,2218.7,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,19.9,2.7,4,1.62,166,144,1166.0
36,Male,169.0,123.7,43.31,Obese,Active,Improve Stamina,Non-Vegetarian,2118.2,3653.9,3753.9,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,20.4,2.1,4,1.3,185,138,987.0
21,Female,157.0,61.3,24.87,Normal,Active,Maintain Fitness,Non-Vegetarian,1328.2,2291.1,2291.1,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,17.2,2.7,4,1.94,191,152,1474.0
52,Male,194.0,72.3,19.21,Normal,Moderate,Maintain Fitness,Non-Vegetarian,1680.5,2604.8,2604.8,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,21.1,2.9,3,1.46,171,121,874.0
34,Female,153.0,69.2,29.56,Overweight,Sedentary,Weight Loss,Eggetarian,1317.2,1580.6,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,28.5,2.1,2,1.36,167,134,911.0
45,Male,161.0,81.4,31.4,Obese,Active,Improve Stamina,Non-Vegetarian,1600.2,2760.3,2860.3,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,30.0,2.2,4,1.14,164,141,796.0
47,Male,186.0,84.8,24.51,Normal,Very Active,Maintain Fitness,Vegetarian,1780.5,3382.9,3382.9,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,14.4,3.5,5,1.85,187,129,1181.0
46,Male,172.0,55.1,18.62,Normal,Moderate,Maintain Fitness,Non-Vegetarian,1401.0,2171.6,2171.6,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,20.5,3.6,3,1.43,164,137,970.0
23,Female,178.0,59.0,18.62,Normal,Very Active,Maintain Fitness,Vegetarian,1426.5,2710.3,2710.3,Balanced Maintenance Diet,Active Lifestyle Routine,Fit,17.8,2.7,5,1.67,185,141,1177.0
52,Female,151.0,64.9,28.46,Overweight,Active,Weight Loss,Vegetarian,1171.8,2021.4,1621.4,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,18.2,2.7,4,1.83,164,165,1359.0
58,Male,175.0,109.7,35.82,Obese,Sedentary,Weight Loss,Vegetarian,1905.8,2287.0,1887.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,22.1,2.7,2,1.01,181,168,840.0
54,Male,190.0,78.4,21.72,Normal,Sedentary,Improve Stamina,Vegetarian,1706.5,2047.8,2147.8,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,21.5,3.7,2,0.81,174,146,585.0
41,Female,179.0,76.7,23.94,Normal,Active,Maintain Fitness,Eggetarian,1519.8,2621.7,2621.7,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,34.0,2.0,4,1.4,172,132,832.0
46,Female,161.0,63.1,24.34,Normal,Active,Muscle Gain,Vegan,1246.2,2149.7,2449.7,High Protein Veg Diet,Moderate Strength Training,Needs Improvement,34.7,2.2,4,1.0,187,152,684.0
48,Female,158.0,62.9,25.2,Overweight,Active,Muscle Gain,Non-Vegetarian,1215.5,2096.7,2396.7,High Protein Non-Veg Diet,Moderate Strength Training,Needs Improvement,20.0,2.7,4,1.98,192,124,1105.0
52,Male,174.0,85.6,28.27,Overweight,Active,Maintain Fitness,Vegetarian,1688.5,2912.7,2912.7,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,13.9,3.5,4,1.84,182,145,1321.0
50,Female,157.0,66.3,26.9,Overweight,Sedentary,Weight Loss,Vegetarian,1233.2,1479.8,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,31.6,1.6,2,1.25,192,132,742.0
38,Male,197.0,61.3,15.8,Underweight,Light,Weight Loss,Vegetarian,1659.2,2281.4,1881.4,Low Calorie Balanced Diet,Beginner Cardio + Walking,Moderately Fit,23.5,2.8,3,1.37,177,146,1100.0
49,Female,165.0,44.1,16.2,Underweight,Active,Maintain Fitness,Vegetarian,1066.2,1839.2,1839.2,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,26.7,1.8,4,1.16,189,133,694.0
40,Male,162.0,63.8,24.31,Normal,Sedentary,Maintain Fitness,Non-Vegetarian,1455.5,1746.6,1746.6,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,20.8,3.4,2,1.3,185,143,1022.0
50,Female,155.0,55.4,23.06,Normal,Active,Muscle Gain,Non-Vegetarian,1111.8,1917.9,2217.9,High Protein Non-Veg Diet,Moderate Strength Training,Fit,18.5,2.7,4,1.85,175,122,1016.0
20,Female,158.0,74.7,29.92,Overweight,Moderate,Weight Loss,Non-Vegetarian,1473.5,2283.9,1883.9,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,32.8,2.4,3,1.04,172,166,863.0
35,Female,167.0,78.0,27.97,Overweight,Active,Weight Loss,Vegetarian,1487.8,2566.5,2166.5,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,33.3,2.5,4,1.13,198,168,949.0
42,Female,167.0,57.5,20.62,Normal,Sedentary,Improve Stamina,Eggetarian,1247.8,1497.4,1597.4,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,34.1,2.4,2,1.14,192,149,764.0
59,Female,173.0,60.7,20.28,Normal,Moderate,Maintain Fitness,Non-Vegetarian,1232.2,1909.9,1909.9,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,33.8,2.5,3,1.03,185,154,714.0
48,Male,174.0,69.0,22.79,Normal,Moderate,Maintain Fitness,Non-Vegetarian,1542.5,2390.9,2390.9,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Needs Improvement,30.0,2.3,3,1.48,160,167,1223.0
20,Female,178.0,75.8,23.92,Normal,Active,Maintain Fitness,Non-Vegetarian,1609.5,2776.4,2776.4,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,27.4,2.0,4,1.42,197,133,944.0
57,Female,163.0,75.7,28.49,Overweight,Light,Weight Loss,Vegetarian,1329.8,1828.5,1428.5,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,32.6,2.3,3,0.69,161,131,407.0
41,Female,164.0,71.2,26.47,Overweight,Moderate,Weight Loss,Vegetarian,1371.0,2125.1,1725.1,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,30.9,2.3,3,1.42,165,147,939.0
49,Male,168.0,85.0,30.12,Obese,Active,Weight Loss,Vegetarian,1660.0,2863.5,2463.5,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,11.3,3.5,4,1.82,197,163,1468.0
39,Female,156.0,63.6,26.13,Overweight,Sedentary,Muscle Gain,Non-Vegetarian,1255.0,1506.0,1806.0,High Protein Non-Veg Diet,Beginner Fitness Routine,Needs Improvement,34.8,2.4,2,1.22,183,148,903.0
40,Male,194.0,73.2,19.45,Normal,Sedentary,Muscle Gain,Vegetarian,1749.5,2099.4,2399.4,High Protein Veg Diet,Beginner Fitness Routine,Needs Improvement,29.0,2.4,2,0.81,177,162,722.0
19,Female,152.0,48.3,20.91,Normal,Sedentary,Muscle Gain,Vegetarian,1177.0,1412.4,1712.4,High Protein Veg Diet,Beginner Fitness Routine,Needs Improvement,26.3,1.6,2,0.96,186,136,653.0
44,Female,178.0,42.8,13.51,Underweight,Moderate,Muscle Gain,Vegetarian,1159.5,1797.2,2097.2,High Protein Veg Diet,Progressive Strength Training,Moderately Fit,25.3,2.6,3,1.49,167,159,1066.0
59,Male,176.0,88.1,28.44,Overweight,Moderate,Weight Loss,Vegetarian,1691.0,2621.1,2221.1,Low Calorie Balanced Diet,Moderate Strength Training,Needs Improvement,26.9,3.0,3,1.35,187,168,1123.0
19,Female,175.0,72.4,23.64,Normal,Active,Improve Stamina,Vegan,1561.8,2694.1,2794.1,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,31.0,1.7,4,1.2,169,140,840.0
43,Male,188.0,73.2,20.71,Normal,Light,Weight Loss,Non-Vegetarian,1697.0,2333.4,1933.4,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.4,3.3,3,1.17,176,142,822.0
34,Male,186.0,110.5,31.94,Obese,Sedentary,Weight Loss,Non-Vegetarian,2102.5,2523.0,2123.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,22.3,3.6,2,1.42,188,139,1086.0
57,Female,176.0,46.1,14.88,Underweight,Moderate,Muscle Gain,Vegetarian,1115.0,1728.2,2028.2,High Protein Veg Diet,Moderate Strength Training,Moderately Fit,25.8,1.7,3,1.44,165,130,842.0
50,Male,171.0,90.8,31.05,Obese,Active,Maintain Fitness,Non-Vegetarian,1731.8,2987.4,2987.4,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,22.6,3.4,4,1.07,173,153,810.0
26,Female,151.0,59.3,26.01,Overweight,Very Active,Muscle Gain,Non-Vegetarian,1245.8,2367.0,2667.0,High Protein Non-Veg Diet,Progressive Strength Training,Needs Improvement,15.1,2.7,5,1.7,181,129,1096.0
56,Female,173.0,45.1,15.07,Underweight,Light,Muscle Gain,Vegetarian,1091.2,1500.4,1800.4,High Protein Veg Diet,Beginner Fitness Routine,Moderately Fit,25.4,2.6,3,0.83,165,129,482.0
46,Male,177.0,45.0,14.36,Underweight,Moderate,Improve Stamina,Vegetarian,1331.2,2063.4,2163.4,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,29.1,3.6,3,1.48,185,162,1187.0
59,Male,162.0,89.4,34.06,Obese,Moderate,Weight Loss,Vegetarian,1616.5,2505.6,2105.6,Low Calorie Balanced Diet,Moderate Strength Training,Needs Improvement,23.5,3.6,3,1.43,198,125,885.0
43,Male,169.0,127.7,44.71,Obese,Moderate,Improve Stamina,Non-Vegetarian,2123.2,3291.0,3391.0,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,24.1,2.9,3,1.14,171,155,875.0
52,Male,172.0,70.9,23.97,Normal,Moderate,Muscle Gain,Non-Vegetarian,1529.0,2370.0,2670.0,High Protein Non-Veg Diet,Moderate Strength Training,Moderately Fit,20.2,2.6,3,1.31,194,143,927.0
42,Female,150.0,49.2,21.87,Normal,Moderate,Maintain Fitness,Vegetarian,1058.5,1640.7,1640.7,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,27.7,1.5,3,1.15,173,131,678.0
41,Female,179.0,62.3,19.44,Normal,Very Active,Maintain Fitness,Vegetarian,1375.8,2614.0,2614.0,Balanced Maintenance Diet,Active Lifestyle Routine,Fit,19.0,2.7,5,1.99,181,162,1451.0
30,Male,187.0,64.1,18.33,Underweight,Sedentary,Improve Stamina,Non-Vegetarian,1664.8,1997.8,2097.8,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,26.2,2.1,2,0.64,182,142,500.0
24,Female,175.0,69.7,22.76,Normal,Light,Weight Loss,Non-Vegetarian,1509.8,2076.0,1676.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,32.5,2.0,3,1.41,166,146,1029.0
53,Female,159.0,56.9,22.51,Normal,Moderate,Maintain Fitness,Vegan,1136.8,1762.0,1762.0,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Needs Improvement,29.5,2.0,3,1.49,199,164,1100.0
37,Female,171.0,53.0,18.13,Underweight,Active,Maintain Fitness,Non-Vegetarian,1252.8,2161.1,2161.1,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,28.1,1.7,4,1.13,184,156,881.0
18,Female,155.0,72.7,30.26,Obese,Light,Weight Loss,Vegetarian,1444.8,1986.6,1586.6,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.8,2.0,3,0.84,172,125,525.0
25,Male,196.0,76.5,19.91,Normal,Light,Muscle Gain,Vegetarian,1870.0,2571.2,2871.2,High Protein Veg Diet,Beginner Fitness Routine,Moderately Fit,23.2,2.3,3,0.67,180,120,442.0
33,Male,199.0,113.6,28.69,Overweight,Sedentary,Weight Loss,Non-Vegetarian,2219.8,2663.8,2263.8,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,28.4,3.4,2,1.38,169,125,949.0
31,Female,162.0,62.5,23.81,Normal,Active,Maintain Fitness,Vegetarian,1321.5,2279.6,2279.6,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,16.5,2.7,4,1.56,168,169,1318.0
29,Male,186.0,95.2,27.52,Overweight,Sedentary,Improve Stamina,Non-Vegetarian,1974.5,2369.4,2469.4,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,26.6,2.5,2,0.64,174,141,496.0
40,Male,182.0,51.7,15.61,Underweight,Light,Muscle Gain,Eggetarian,1459.5,2006.8,2306.8,High Protein Non-Veg Diet,Beginner Fitness Routine,Moderately Fit,21.4,3.0,3,0.9,161,160,792.0
32,Male,167.0,105.3,37.76,Obese,Light,Weight Loss,Non-Vegetarian,1941.8,2670.0,2270.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,26.9,2.9,3,0.57,184,143,448.0
45,Female,168.0,71.2,25.23,Overweight,Light,Muscle Gain,Vegetarian,1376.0,1892.0,2192.0,High Protein Veg Diet,Beginner Fitness Routine,Needs Improvement,34.1,1.6,3,1.37,172,144,888.0
51,Female,151.0,78.1,34.25,Obese,Light,Weight Loss,Non-Vegetarian,1308.8,1799.6,1399.6,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,31.1,2.6,3,0.92,193,134,555.0
19,Female,168.0,50.6,17.93,Underweight,Moderate,Maintain Fitness,Non-Vegetarian,1300.0,2015.0,2015.0,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,30.6,2.1,3,1.21,193,145,877.0
49,Male,189.0,70.2,19.65,Normal,Light,Improve Stamina,Non-Vegetarian,1643.2,2259.4,2359.4,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,29.6,2.6,3,0.7,194,127,440.0
40,Female,153.0,62.6,26.74,Overweight,Very Active,Improve Stamina,Eggetarian,1221.2,2320.3,2420.3,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,18.1,2.7,5,1.93,197,143,1380.0
39,Female,165.0,60.6,22.26,Normal,Light,Maintain Fitness,Vegetarian,1281.2,1761.7,1761.7,Balanced Maintenance Diet,Beginner Cardio + Walking,Moderately Fit,27.6,1.7,3,0.92,162,167,768.0
42,Male,197.0,76.4,19.69,Normal,Moderate,Maintain Fitness,Eggetarian,1790.2,2774.8,2774.8,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,22.9,2.6,3,1.14,165,157,886.0
39,Female,171.0,63.3,21.65,Normal,Active,Muscle Gain,Eggetarian,1345.8,2321.5,2621.5,High Protein Non-Veg Diet,Progressive Strength Training,Fit,18.5,2.7,4,1.88,178,125,1175.0
